,Anaheim Ducks,Arizona Coyotes,Boston Bruins,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Chicago Blackhawks,Colorado Avalanche,Columbus Blue Jackets,Dallas Stars,Detroit Red Wings,Edmonton Oilers,Florida Panthers,Los Angeles Kings,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New York Islanders,New York Rangers,Ottawa Senators,Philadelphia Flyers,Pittsburgh Penguins,San Jose Sharks,Seattle Kraken,St. Louis Blues,Tampa Bay Lightning,Toronto Maple Leafs,Vancouver Canucks,Vegas Golden Knights,Washington Capitals
Anaheim Ducks,0,323.4,2579.7,2182.8,1205.9,2210.9,1729.2,820.8,1960.3,1216.5,1968,1380.6,2295.2,27.7,1521.6,2456.2,1760.2,2424.6,2455,2433.8,2341.1,2375.2,2119.9,332.3,982.4,1571.8,2128.7,2161.5,1101.9,220.1,2281.3
Arizona Coyotes,323.4,0,2301.9,1909.3,1212.9,1903.1,1456,588,1671.2,894.3,1693.6,1384.2,1971.9,346.7,1287.9,2196.1,1452,2138.6,2169,2147.9,2081,2085.2,1832.8,602.5,1106.1,1277.5,1805.3,1893.1,1221.7,242.8,1986.4
Boston Bruins,2579.7,2301.9,0,398.7,2090.3,611.3,850.6,1766,642.3,1549.3,611.9,2072.9,1236.6,2592.2,1112.5,249.6,941.9,196.4,173.2,188.2,315.8,273.3,481.2,2678.8,2485.9,1035.9,1183.7,429.2,2499.8,2373.1,393.6
Buffalo Sabres,2182.8,1909.3,398.7,0,1732.8,488.7,454,1367.6,293.4,1197.2,215.6,1733.9,1157.9,2194.9,721.3,319.2,626.2,283.9,310.2,291.1,222.3,281.2,177.8,2280.5,2111.7,660.8,1050.9,58.8,2133.7,1975.1,291.4
Calgary Flames,1205.9,1212.9,2090.3,1732.8,0,2033.6,1395.5,893.4,1669.7,1532.9,1572.6,174.9,2465.8,1193.2,1051.6,1876,1692,2016.6,2042.2,2023.7,1779.8,2006.3,1778,1022.3,441.6,1438.7,2288.7,1684,418.6,1033.4,1968.2
Carolina Hurricanes,2210.9,1903.1,611.3,488.7,2033.6,0,638.4,1455.7,370.6,1051.7,507.8,2070.2,673.1,2228.4,983.2,721.7,451.2,420.6,439.2,427.2,672,343,327.6,2377.5,2357.7,660.6,585.4,542.8,2402.1,2027,233.3
Chicago Blackhawks,1729.2,1456,850.6,454,1395.5,638.4,0,916.7,277.1,803,238.9,1433.3,1163.8,1741.6,344.9,746.5,398.2,704.6,734.6,713.5,632.7,666.5,411.8,1836.4,1731.7,261.4,1006.9,437.8,1769.9,1522.8,596.8
Colorado Avalanche,820.8,588,1766,1367.6,893.4,1455.7,916.7,0,1164,662.5,1154.6,1033.2,1702.4,830.8,705,1635.6,1021.5,1619.4,1649.6,1628.5,1520.6,1575.8,1318.8,926.6,1019.6,795.7,1523.2,1343.6,1103.8,608.4,1491
Columbus Blue Jackets,1960.3,1671.2,642.3,293.4,1669.7,370.6,277.1,1164,0,912.5,163.9,1701.2,966.6,1974.7,618.2,611.8,333.8,468,498.3,477.4,514.4,415,162.5,2090,2008.7,395.7,831.5,315.1,2046.9,1761.4,327.8
Dallas Stars,1216.5,894.3,1549.3,1197.2,1532.9,1051.7,803,662.5,912.5,0,999.2,1653.2,1090.6,1238.2,862.9,1514.6,616.4,1362.9,1391.9,1372.2,1407.9,1296.4,1069.5,1448.7,1679.8,547.4,918.2,1203.1,1766.2,1069.6,1183
Detroit Red Wings,1968,1693.6,611.9,215.6,1572.6,507.8,238.9,1154.6,163.9,999.2,0,1590.3,1128.8,1980.4,533.1,519.6,471.2,472.5,501.8,481,409.6,443.4,206.2,2071.4,1933.3,454.7,995.4,206.4,1962.9,1761.3,395.7
Edmonton Oilers,1380.6,1384.2,2072.9,1733.9,174.9,2070.2,1433.3,1033.2,1701.2,1653.2,1590.3,0,2540.9,1367.6,1089.2,1847.7,1757.2,2015.8,2039.7,2022.2,1758.4,2012.5,1796.5,1190,563.4,1506.7,2366.3,1682,507.7,1208,1985
Florida Panthers,2295.2,1971.9,1236.6,1157.9,2465.8,673.1,1163.8,1702.4,966.6,1090.6,1128.8,2540.9,0,2318.5,1479.2,1387.4,788.9,1067,1077.7,1071.5,1344.6,994.9,986.9,2539.2,2707.6,1034.9,179.8,1209.3,2777,2159.4,900.9
Los Angeles Kings,27.7,346.7,2592.2,2194.9,1193.2,2228.4,1741.6,830.8,1974.7,1238.2,1980.4,1367.6,2318.5,0,1529.6,2466.4,1778.1,2438.4,2468.7,2447.6,2351.3,2389.6,2134,305.3,961.8,1587.3,2151.5,2173,1081.3,225.3,2296.5
Minnesota Wild,1521.6,1287.9,1112.5,721.3,1051.6,983.2,344.9,705,618.2,862.9,533.1,1089.2,1479.2,1529.6,0,949,691.2,999.6,1027.8,1007.7,836.1,976.1,733.9,1578.3,1400.4,461.3,1312.7,683.7,1432.4,1304.7,924
Montreal Canadiens,2456.2,2196.1,249.6,319.2,1876,721.7,746.5,1635.6,611.8,1514.6,519.6,1847.7,1387.4,2466.4,949,0,942.9,330.4,329.8,328.6,115.2,395,476.6,2527.3,2283.7,973.7,1306.8,313.2,2290.2,2243.3,488.8
Nashville Predators,1760.2,1452,941.9,626.2,1692,451.2,398.2,1021.5,333.8,616.4,471.2,1757.2,788.9,1778.1,691.2,942.9,0,751.1,779.3,760.2,847.9,682,472.1,1934.8,1971.7,253.6,621.6,648.5,2028.8,1579,567
New Jersey Devils,2424.6,2138.6,196.4,283.9,2016.6,420.6,704.6,1619.4,468,1362.9,472.5,2015.8,1067,2438.4,999.6,330.4,751.1,0,30.4,9.4,327.5,78,305.9,2540.9,2394.4,863.6,1000.9,333.8,2417.4,2222.5,197.4
New York Islanders,2455,2169,173.2,310.2,2042.2,439.2,734.6,1649.6,498.3,1391.9,501.8,2039.7,1077.7,2468.7,1027.8,329.8,779.3,30.4,0,21.2,337.3,100.8,336.3,2570.9,2421.6,893.8,1016.2,358.4,2443.8,2252.8,221.4
New York Rangers,2433.8,2147.9,188.2,291.1,2023.7,427.2,713.5,1628.5,477.4,1372.2,481,2022.2,1071.5,2447.6,1007.7,328.6,760.2,9.4,21.2,0,328.9,85.4,315.2,2549.9,2402,872.9,1006.7,340.4,2424.8,2231.7,205.4
Ottawa Senators,2341.1,2081,315.8,222.3,1779.8,672,632.7,1520.6,514.4,1407.9,409.6,1758.4,1344.6,2351.3,836.1,115.2,847.9,327.5,337.3,328.9,0,374.8,393.5,2414.1,2182.2,864.3,1251.4,204.9,2191.9,2128.4,445.6
Philadelphia Flyers,2375.2,2085.2,273.3,281.2,2006.3,343,666.5,1575.8,415,1296.4,443.4,2012.5,994.9,2389.6,976.1,395,682,78,100.8,85.4,374.8,0,257,2500.1,2375.4,807.9,924.9,337.3,2402.3,2175.7,120.6
Pittsburgh Penguins,2119.9,1832.8,481.2,177.8,1778,327.6,411.8,1318.8,162.5,1069.5,206.2,1796.5,986.9,2134,733.9,476.6,472.1,305.9,336.3,315.2,393.5,257,0,2243.2,2133.9,558.1,874.7,223.6,2165.9,1919.3,190.4
San Jose Sharks,332.3,602.5,2678.8,2280.5,1022.3,2377.5,1836.4,926.6,2090,1448.7,2071.4,1190,2539.2,305.3,1578.3,2527.3,1934.8,2540.9,2570.9,2549.9,2414.1,2500.1,2243.2,0,711.3,1720.1,2366.6,2251.2,827.5,381.8,2417.3
Seattle Kraken,982.4,1106.1,2485.9,2111.7,441.6,2357.7,1731.7,1019.6,2008.7,1679.8,1933.3,563.4,2707.6,961.8,1400.4,2283.7,1971.7,2394.4,2421.6,2402,2182.2,2375.4,2133.9,711.3,0,1721.2,2527.9,2067.3,119.5,876.4,2323.5
St. Louis Blues,1571.8,1277.5,1035.9,660.8,1438.7,660.6,261.4,795.7,395.7,547.4,454.7,1506.7,1034.9,1587.3,461.3,973.7,253.6,863.6,893.8,872.9,864.3,807.9,558.1,1720.1,1721.2,0,862.5,660.5,1776.4,1378.3,709.8
Tampa Bay Lightning,2128.7,1805.3,1183.7,1050.9,2288.7,585.4,1006.9,1523.2,831.5,918.2,995.4,2366.3,179.8,2151.5,1312.7,1306.8,621.6,1000.9,1016.2,1006.7,1251.4,924.9,874.7,2366.6,2527.9,862.5,0,1098.2,2597.5,1987.7,818.8
Toronto Maple Leafs,2161.5,1893.1,429.2,58.8,1684,542.8,437.8,1343.6,315.1,1203.1,206.4,1682,1209.3,2173,683.7,313.2,648.5,333.8,358.4,340.4,204.9,337.3,223.6,2251.2,2067.3,660.5,1098.2,0,2087.1,1951.9,350
Vancouver Canucks,1101.9,1221.7,2499.8,2133.7,418.6,2402.1,1769.9,1103.8,2046.9,1766.2,1962.9,507.7,2777,1081.3,1432.4,2290.2,2028.8,2417.4,2443.8,2424.8,2191.9,2402.3,2165.9,827.5,119.5,1776.4,2597.5,2087.1,0,994.1,2356.2
Vegas Golden Knights,220.1,242.8,2373.1,1975.1,1033.4,2027,1522.8,608.4,1761.4,1069.6,1761.3,1208,2159.4,225.3,1304.7,2243.3,1579,2222.5,2252.8,2231.7,2128.4,2175.7,1919.3,381.8,876.4,1378.3,1987.7,1951.9,994.1,0,2085.3
Washington Capitals,2281.3,1986.4,393.6,291.4,1968.2,233.3,596.8,1491,327.8,1183,395.7,1985,900.9,2296.5,924,488.8,567,197.4,221.4,205.4,445.6,120.6,190.4,2417.3,2323.5,709.8,818.8,350,2356.2,2085.3,0
